,artists,track,album,time (s),popularity,year,id
0,['Mac Miller'],The Spins,K.I.D.S.,195.873,86,2010,51pshtuYkgUQnt5huMPbKL
1,"['Waylon Jennings', 'Willie Nelson']",The Year 2003 Minus 25 - Remastered,Waylon & Willie,184.266,45,2010,0sFq478LIo9BFwf2qzMzzF
2,"['Lil Wayne', 'Drake']",Right Above It,I Am Not A Human Being,271.946,73,2010,1kMuU3TNQvHbqvXCWBodmP
3,['Anthem Lights'],Best of 2010: Baby / Break Even / Need You Now / Dynamite / Tik Tok / Airplanes,Best of the Year Medleys: 2007 - 2012,155.341,46,2010,5J1iMCE9SnuOqwRwOpVxhp
4,['Bruno Mars'],Talking to the Moon,Doo-Wops & Hooligans,217.866,86,2010,161DnLWsx1i3u1JT05lzqU
5,['Schoolgirl Byebye'],"Year,2015",軟弱,74.301,26,2010,0UsmyJDsst2xhX1ZiFF3JW
6,['Miguel'],Girl With The Tattoo Enter.lewd,All I Want Is You,102.813,78,2010,1eUGmzzvahJjOSWgDHuRlv
7,['The Wonder Years'],You’re not Salinger. Get over It.,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,222.663,32,2010,6HpJri9Q9YVE8yN3JZdwQu
8,['Roar'],I Can't Handle Change,I Can't Handle Change,198.213,85,2010,0I1eFRytp4XRhLCjT6tZm7
9,['Silverchair'],Anthem for the Year 2000,Neon Ballroom,247.786,51,2010,3LMpZcOhaz2CUX5rfoCNRs
10,['Beach House'],Silver Soul,Teen Dream,298.68,70,2010,2LZ2CNbcbJrwh53pitRgom
11,['The Wonder Years'],Won’t Be Pathetic Forever,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,179.969,32,2010,3wNhtNnEkp940yrvv3KUSn
12,['Bruno Mars'],Just the Way You Are,Doo-Wops & Hooligans,220.734,85,2010,7BqBn9nzAq8spo5e7cZ0dJ
13,['Mogwai'],Year 2000 Non-Compliant Cardia,Come On Die Young,205.64,17,2010,4qoCUk6biiSxlbdVxxWUqZ
14,['Katy Perry'],Last Friday Night (T.G.I.F.),Teenage Dream,230.733,76,2010,3avYqdwHKEq8beXbeWCKqJ
15,['NOTHING MORE'],Gone (Acoustic 2010),The Few Not Fleeting (10 Year Anniversary Edition),258.786,31,2010,6IAlJ7TVGye3fC9VJgigMr
